property_type,society,sector,price,pricePerSqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,others,store room,pooja room,servant room,furnishing_type,luxury_score,area_per_bedroom
flat,supertech araville,sector 79,0.83,5425.0,2,2,3,5.0,New Property,1700.0,1,0,0,0,0,2,46,765.0
flat,signature global park,sector 33,0.83,7411.0,3,2,2,1.0,New Property,1244.0,0,0,0,0,0,0,33,373.3333333333333
flat,maxworth city residences,sector 10a,0.8,6400.0,2,3,2,9.0,New Property,1389.0,0,0,0,0,0,0,53,625.0
flat,deepak minda,sector 8,1.25,4715.0,4,4,3+,6.0,Moderately Old,2946.0,0,0,0,0,0,1,42,662.75
flat,pivotal devaan,sector 84,0.3,6667.0,1,1,1,14.0,New Property,500.0,0,0,0,0,0,1,18,450.0
flat,unitech the residences,sector 33,1.55,9873.0,3,4,1,1.0,Relatively New,1421.0,0,0,0,0,1,0,36,523.3333333333334
flat,chd avenue,sector 71,0.79,6594.0,2,2,2,8.0,Relatively New,1084.0,0,1,0,0,0,0,0,599.0
flat,silverglades the melia,sector 33,1.01,6999.0,2,2,3,12.0,Under Construction,1184.0,1,0,0,0,0,0,106,721.5
flat,sare crescent parc royal greens phase 1,sector 92,0.95,5008.0,4,5,3+,4.0,Moderately Old,1717.0,0,0,0,0,1,0,36,474.25
flat,umang winter hills,sector 77,0.99,7857.0,2,2,2,1.0,Relatively New,1126.0,0,0,0,0,0,0,99,630.0
flat,ramprastha skyz,sector 37d,1.1,6377.0,3,3,3+,7.0,Under Construction,1561.0,0,0,0,0,0,0,125,575.0
flat,4s aradhya homes,sector 67a,1.9,8862.0,4,4,3,3.0,New Property,1991.0,0,0,0,0,0,1,55,536.0
flat,ild greens,sector 37c,1.0,4320.0,3,3,3+,5.0,Under Construction,1697.0,0,0,0,0,0,0,55,771.6666666666666
flat,bptp freedom park life,sector 57,2.5,11111.0,3,3,3,9.0,Moderately Old,2036.0,0,0,0,0,0,0,70,750.0
flat,godrej habitat,sector 3,1.1,10407.0,2,2,2,14.0,Under Construction,956.0,0,0,0,0,0,0,58,528.5
flat,ramsons kshitij,sector 95,0.29,5179.0,2,2,2,14.0,Relatively New,507.0,0,0,0,0,0,0,62,280.0
flat,sidhartha ncr one,sector 95,0.55,5556.0,2,2,3,15.0,New Property,990.0,0,0,0,0,0,0,0,495.0
flat,raheja sampada,sector 92,0.65,4745.0,3,2,3,6.0,Relatively New,1240.0,0,0,0,0,0,0,46,456.6666666666667
flat,signature the serenas,sector 33,0.5,9398.0,2,2,2,6.0,New Property,591.0,0,0,0,0,0,0,36,266.0
flat,pareena laxmi apartments,sector 99a,0.32,5517.0,2,2,1,2.0,New Property,577.0,0,0,0,0,0,0,59,290.0
flat,satya the hermitage,sector 103,0.93,6405.0,2,3,3,3.0,Relatively New,1613.0,0,0,0,0,1,1,100,726.0
flat,smart world gems,sector 89,1.2,8433.0,3,3,2,2.0,New Property,1581.0,0,0,0,0,0,0,42,474.3333333333333
flat,gls arawali homes,sector 33,0.3,4688.0,2,2,2,4.0,Relatively New,711.0,0,0,0,0,0,0,52,320.0
flat,signature global park,sector 33,0.56,6813.0,2,2,3,3.0,New Property,913.0,0,0,0,0,0,0,124,411.0
flat,bestech park view city,sector 49,2.7,12506.0,3,4,3+,6.0,Moderately Old,2159.0,0,0,0,0,0,0,0,719.6666666666666
flat,shree vardhman flora,sector 90,1.0,5128.0,3,4,3,8.0,New Property,1765.0,0,0,0,0,1,0,108,650.0
flat,afnhb jalvayu vihar,sector 30,1.45,11154.0,3,2,2,2.0,Old Property,1300.0,0,0,0,0,0,2,88,433.3333333333333
flat,m3m soulitude,sector 89,1.25,8784.0,3,3,0,4.0,New Property,1423.0,0,0,0,0,0,0,66,474.3333333333333
flat,emaar mgf palm terraces,sector 66,4.5,10598.0,5,5,3+,11.0,New Property,3321.0,0,0,0,0,1,1,118,849.2
flat,hcbs sports ville,sector 33,0.28,3769.0,2,2,1,11.0,Relatively New,743.0,0,0,0,0,0,0,36,371.5
flat,puri the aravallis,sector 61,3.87,17200.0,3,4,3+,21.0,Under Construction,2250.0,0,0,0,0,1,0,69,750.0
flat,brisk lumbini terrace homes,sector 109,1.38,6339.0,3,3,1,4.0,Moderately Old,2419.0,0,0,0,0,0,0,16,725.6666666666666
flat,huda ashok vihar phase,sector 4,0.43,6615.0,2,2,1,2.0,Relatively New,722.0,0,0,0,0,0,0,10,325.0
flat,my home,sector 110,0.28,3167.0,2,1,1,2.0,Relatively New,1000.0,0,1,0,0,0,1,10,442.0
flat,signature global city,sector 37d,1.1,9839.0,2,2,2,4.0,Relatively New,1242.0,0,0,0,0,0,0,72,559.0
flat,m3m heights,sector 65,2.0,13957.0,2,2,2,32.0,Relatively New,1433.0,0,0,0,0,0,0,70,716.5
flat,signature global park,sector 33,0.9,8036.0,3,2,2,2.0,Under Construction,1014.0,0,0,0,0,0,0,157,373.3333333333333
